date,activity,distance in meters,duration in seconds,notes,event name,created at,updated at
2012-08-07 12:00:00 +0100,cycling,13000.0,1800.0,local,,2012-08-07 14:42:25 +0100,2012-08-07 14:42:25 +0100
2012-08-08 06:00:00 +0100,running,2333.5488,710.0,home->egham,,2012-08-08 12:51:48 +0100,2012-08-08 12:51:48 +0100
2012-08-08 12:00:00 +0100,running,6437.376,1920.0,waterloo-work + laps L3-4,,2012-08-08 12:52:19 +0100,2012-08-08 12:52:19 +0100
2012-08-09 12:00:00 +0100,cycling,46400.0,5340.0,L3 solid,,2012-08-10 14:56:17 +0100,2012-08-10 14:56:17 +0100
2012-08-10 12:00:00 +0100,swimming,1800.0,2100.0,200s. Back still tight,,2012-08-10 14:55:40 +0100,2012-08-10 14:55:40 +0100
2012-12-15 12:00:00 +0000,swimming,1000.0,1500.0,Quick swim,,2012-12-17 11:07:12 +0000,2012-12-17 11:07:12 +0000
2014-06-29 10:00:00 +0100,cycling,60000.0,7500.0,Chew valley harptree loop with Emma,,2014-06-29 20:10:36 +0100,2014-06-29 20:10:36 +0100
2013-01-19 09:00:00 +0000,running,11500.0,4080.0,VW loop (snowy),,2013-01-22 15:22:15 +0000,2013-01-22 15:22:15 +0000
2013-01-21 12:00:00 +0000,walking,7000.0,3600.0,XC ski in Windsor park,,2013-01-22 15:20:59 +0000,2013-01-22 15:20:59 +0000
2008-01-23 12:00:00 +0000,cycling,19312.128,3600.0,Commute,,2008-03-27 22:25:35 +0000,2008-09-24 11:25:42 +0100
2008-01-24 12:00:00 +0000,cycling,12874.752,2400.0,Commute,,2008-03-27 22:25:57 +0000,2008-09-24 11:25:42 +0100
2008-01-25 12:00:00 +0000,cycling,12874.752,2400.0,Commute,,2008-03-27 22:12:19 +0000,2008-09-24 11:25:42 +0100
2014-09-01 12:00:00 +0100,cycling,19300.0,2760.0,2x commute,,2014-09-24 14:49:35 +0100,2014-09-24 14:49:35 +0100
2014-09-02 12:00:00 +0100,cycling,19400.0,2580.0,2x commute,,2014-09-24 14:50:38 +0100,2014-09-24 14:50:38 +0100
2014-09-03 12:00:00 +0100,cycling,15000.0,1860.0,2x commute,,2014-09-24 14:51:09 +0100,2014-09-24 14:51:09 +0100
2014-09-04 12:00:00 +0100,cycling,15000.0,1980.0,2x commute,,2014-09-24 14:52:22 +0100,2014-09-24 14:52:22 +0100
2014-09-05 12:00:00 +0100,cycling,17000.0,1980.0,2x commute,,2014-09-24 14:53:32 +0100,2014-09-24 14:53:32 +0100
2014-09-04 17:00:00 +0100,swimming,1600.0,1920.0,4x400 inc paddles,,2014-09-24 15:01:06 +0100,2014-09-24 15:01:06 +0100
2014-09-08 12:00:00 +0100,cycling,15000.0,1860.0,2x commute,,2014-09-24 15:03:48 +0100,2014-09-24 15:03:48 +0100
2014-09-09 12:00:00 +0100,cycling,15500.0,2100.0,2x commute + local,,2014-09-24 15:05:00 +0100,2014-09-24 15:05:00 +0100
2014-09-10 09:00:00 +0100,cycling,3600.0,540.0,local,,2014-09-24 15:05:32 +0100,2014-09-24 15:05:32 +0100
2014-09-10 17:00:00 +0100,running,12400.0,3660.0,VW loop,,2014-09-24 15:06:19 +0100,2014-09-24 15:06:19 +0100
2014-09-11 07:00:00 +0100,cycling,12900.0,1800.0,Easy spin,,2014-09-24 15:07:06 +0100,2014-09-24 15:07:06 +0100
2014-09-14 12:00:00 +0100,swimming,400.0,480.0,Quick swim,,2014-09-24 15:10:08 +0100,2014-09-24 15:10:08 +0100
2014-09-15 10:00:00 +0100,cycling,156000.0,30360.0,Triple climb of Mt Ventoux in thunderstorms!,,2014-09-24 15:12:28 +0100,2014-09-24 15:12:28 +0100
2014-09-17 12:00:00 +0100,cycling,24200.0,3780.0,To/from lake Cavanac,,2014-09-24 15:14:01 +0100,2014-09-24 15:14:01 +0100
2014-09-18 12:00:00 +0100,cycling,25200.0,3780.0,To/from lake Cavanac,,2014-09-24 15:15:35 +0100,2014-09-24 15:15:35 +0100
2014-09-03 13:00:00 +0100,running,6300.0,2100.0,Lunch run,,2014-09-24 14:51:55 +0100,2014-09-24 14:51:55 +0100
2014-09-05 16:00:00 +0100,cycling,8200.0,2400.0,Pootle with chariot,,2014-09-24 14:54:27 +0100,2014-09-24 14:54:27 +0100
2014-09-06 09:00:00 +0100,running,11700.0,3660.0,Parkrun  + there and back,,2014-09-24 14:55:17 +0100,2014-09-24 14:55:17 +0100
2014-09-07 09:00:00 +0100,cycling,31200.0,4140.0,Hilly loop,,2014-09-24 14:56:55 +0100,2014-09-24 14:56:55 +0100
2014-09-07 16:00:00 +0100,cycling,5400.0,1560.0,Pootle with chariot,,2014-09-24 15:00:15 +0100,2014-09-24 15:00:15 +0100
2014-09-12 07:00:00 +0100,cycling,15400.0,2040.0,Easy spin,,2014-09-24 15:07:58 +0100,2014-09-24 15:07:58 +0100
2014-09-12 17:00:00 +0100,cycling,15400.0,1860.0,to/from station,,2014-09-24 15:08:48 +0100,2014-09-24 15:08:48 +0100
2014-09-14 10:00:00 +0100,cycling,19700.0,2460.0,Easy spin,,2014-09-24 15:09:39 +0100,2014-09-24 15:09:39 +0100
2014-09-16 12:00:00 +0100,swimming,400.0,480.0,Quick swim,,2014-09-24 15:13:07 +0100,2014-09-24 15:13:07 +0100
2014-09-17 12:00:00 +0100,swimming,1000.0,1200.0,Lake swim,,2014-09-24 15:14:24 +0100,2014-09-24 15:14:24 +0100
2014-09-18 14:00:00 +0100,running,10000.0,3300.0,Hilly run @ lac de Cavayere,,2014-09-24 15:18:05 +0100,2014-09-24 15:18:05 +0100
2014-09-18 11:00:00 +0100,swimming,1000.0,1380.0,Lake swim,,2014-09-24 15:18:25 +0100,2014-09-24 15:18:25 +0100
2014-09-20 12:00:00 +0100,swimming,1000.0,1260.0,Sea swim,,2014-09-24 15:19:43 +0100,2014-09-24 15:19:43 +0100
2014-09-21 15:00:00 +0100,running,7700.0,2460.0,Hot off-road run,,2014-09-24 15:20:34 +0100,2014-09-24 15:20:34 +0100
2014-09-21 16:00:00 +0100,swimming,1000.0,1200.0,Easy swim,,2014-09-24 15:21:26 +0100,2014-09-24 15:21:26 +0100
2014-09-22 16:00:00 +0100,swimming,500.0,600.0,Pool swim,,2014-09-24 15:23:13 +0100,2014-09-24 15:23:13 +0100
2014-09-22 10:00:00 +0100,swimming,1000.0,1440.0,Sea swim,,2014-09-24 15:23:36 +0100,2014-09-24 15:23:36 +0100
2014-09-24 14:00:00 +0100,running,7500.0,2400.0,L3 partly on beach,,2014-09-24 15:25:02 +0100,2014-09-24 15:25:02 +0100
2014-09-20 15:00:00 +0100,running,6400.0,1920.0,Easy run,,2014-09-24 15:19:17 +0100,2014-09-24 15:19:17 +0100
2014-09-22 15:00:00 +0100,running,7500.0,2700.0,Hot off-road (+ beach) run,,2014-09-24 15:22:26 +0100,2014-09-24 15:22:26 +0100
2014-09-23 14:00:00 +0100,swimming,1500.0,1740.0,3x500 easy,,2014-09-24 15:24:21 +0100,2014-09-24 15:24:21 +0100
2014-09-24 12:00:00 +0100,swimming,1200.0,1500.0,Sea swim,,2014-09-24 15:25:23 +0100,2014-09-24 15:25:23 +0100
2008-03-04 12:00:00 +0000,cycling,12874.752,2400.0,Commute,,2008-03-27 21:58:24 +0000,2008-09-24 11:25:42 +0100
2008-03-04 12:00:00 +0000,swimming,2000.0,3600.0,LUST session,,2008-03-27 21:59:52 +0000,2008-09-24 11:25:42 +0100
2008-05-30 13:00:00 +0100,swimming,1200.0,1800.0,Quick swim,,2008-05-30 17:38:29 +0100,2008-09-24 11:25:41 +0100
2008-05-30 13:00:00 +0100,cycling,77248.5121,10800.0,Richmond Park TT (58 mins - quads felt weak) + there and back,,2008-05-30 23:25:24 +0100,2008-09-24 11:25:41 +0100
2008-05-30 13:00:00 +0100,running,4023.36,1200.0,Short run off bike in Richmond,,2008-05-30 23:25:54 +0100,2008-09-24 11:25:41 +0100
2008-05-31 13:00:00 +0100,running,16898.112,5400.0,"Heath + extension (tempo). Hilly, tired towards end.",,2008-05-31 22:25:34 +0100,2008-09-24 11:25:41 +0100
2008-06-01 13:00:00 +0100,cycling,128747.5201,18000.0,Serpie ride - 3 Hills. Felt pretty strong all the way,,2008-06-01 16:02:52 +0100,2008-09-24 11:25:41 +0100
2008-06-01 13:00:00 +0100,running,7242.048,2220.0,"Heath loop - Run off the bike. Felt good, slight knee soreness.",,2008-06-01 16:04:02 +0100,2008-09-24 11:25:41 +0100
2008-06-02 13:00:00 +0100,cycling,12874.752,2400.0,Commute,,2008-06-02 21:34:41 +0100,2008-09-24 11:25:41 +0100
2008-06-03 13:00:00 +0100,running,9656.064,3060.0,Regents Park. Totally soaked!,,2008-06-03 18:33:53 +0100,2008-09-24 11:25:41 +0100
2008-06-03 13:00:00 +0100,swimming,1800.0,3600.0,LUST session. Felt exhausted half way through,,2008-06-03 20:07:27 +0100,2008-09-24 11:25:41 +0100
2008-06-03 13:00:00 +0100,cycling,12874.752,2400.0,Commute,,2008-06-03 20:07:55 +0100,2008-09-24 11:25:41 +0100
2008-06-04 13:00:00 +0100,cycling,12874.752,1800.0,Commute,,2008-06-05 14:07:56 +0100,2008-09-24 11:25:41 +0100
2008-06-05 13:00:00 +0100,running,7724.8512,2280.0,Run into UCL,,2008-06-05 14:07:15 +0100,2008-09-24 11:25:41 +0100
2008-08-20 13:00:00 +0100,cycling,24140.16,3600.0,Commute,,2008-08-21 16:45:29 +0100,2008-09-24 11:25:41 +0100
2008-09-20 13:00:00 +0100,cycling,6437.376,1200.0,Local,,2008-09-22 17:40:26 +0100,2008-09-24 11:25:40 +0100
2009-06-19 15:06:01 +0100,cycling,20921.472,3600.0,Commute,,2009-06-22 15:16:19 +0100,2009-06-22 15:16:19 +0100
2009-08-16 14:26:01 +0100,cycling,14484.096,2400.0,Local,,2009-08-17 14:27:04 +0100,2009-08-17 14:27:04 +0100
2009-08-17 12:46:01 +0100,cycling,20921.472,3600.0,Commute,,2009-08-18 12:46:45 +0100,2009-08-18 12:46:45 +0100
2014-04-30 12:00:00 +0100,cycling,15500.0,1842.0,Sweetspot,,2014-04-30 14:35:14 +0100,2014-04-30 14:35:14 +0100
2014-04-30 13:00:00 +0100,running,9000.0,2700.0,Brick run L3,,2014-04-30 14:35:39 +0100,2014-04-30 14:35:39 +0100
2009-11-25 15:04:01 +0000,cycling,20921.472,3600.0,Commute,,2009-11-26 15:04:59 +0000,2009-11-26 15:04:59 +0000
2009-11-25 23:11:01 +0000,cycling,20921.472,3600.0,Commute,,2009-11-25 23:11:30 +0000,2009-11-25 23:11:30 +0000
2009-11-26 15:05:01 +0000,swimming,1000.0,2400.0,Mainly drills,,2009-11-26 15:08:13 +0000,2009-11-26 15:08:13 +0000
2013-01-22 11:00:00 +0000,running,8400.0,2640.0,L2 run (snowy),,2013-01-22 15:20:12 +0000,2013-01-22 15:20:12 +0000
2013-01-20 10:00:00 +0000,cycling,45000.0,5400.0,L2/L3 turbo,,2013-01-22 15:21:31 +0000,2013-01-22 15:21:31 +0000
2012-02-12 12:00:00 +0000,swimming,1100.0,1800.0,Drills,,2012-02-12 17:59:47 +0000,2012-02-12 17:59:47 +0000
2012-02-09 12:00:00 +0000,cycling,36210.24,5400.0,Commute in - very cold!,,2012-02-12 18:03:53 +0000,2012-02-12 18:03:53 +0000
2012-02-09 12:00:00 +0000,cycling,36210.24,3640.0,Commute home,,2012-02-12 18:04:23 +0000,2012-02-12 18:04:23 +0000
2012-02-12 12:00:00 +0000,running,10000.0,2385.0,Valentines 10k,Valentines 10k,2012-02-12 17:59:16 +0000,2012-02-12 17:59:16 +0000
2012-02-11 12:00:00 +0000,swimming,2500.0,2700.0,20x100 @1:45 w/paddles,,2012-02-12 18:00:25 +0000,2012-02-12 18:00:25 +0000
2012-02-11 12:00:00 +0000,cycling,24140.16,3300.0,Easy spin,,2012-02-12 18:01:42 +0000,2012-02-12 18:01:42 +0000
2012-02-10 12:00:00 +0000,running,6759.2448,2400.0,Easy jog,,2012-02-12 18:03:01 +0000,2012-02-12 18:03:01 +0000
2012-02-14 12:00:00 +0000,cycling,37014.912,5400.0,Commute in,,2012-02-15 21:06:22 +0000,2012-02-15 21:06:22 +0000
2012-02-16 12:00:00 +0000,cycling,37014.912,3630.0,Commute home,,2012-02-17 19:02:54 +0000,2012-02-17 19:02:54 +0000
2012-02-17 12:00:00 +0000,running,11700.0,3600.0,VW loop inc 2x20 @ L3-4,,2012-02-17 19:04:48 +0000,2012-02-17 19:04:48 +0000
2012-02-17 12:00:00 +0000,swimming,2500.0,3000.0,6/6/6 with paddles off 3:40/1:45/55,,2012-02-17 19:03:47 +0000,2012-02-17 19:03:47 +0000
2012-02-18 12:00:00 +0000,cycling,64373.76,7230.0,Hungry Hill & back,,2012-02-20 18:18:37 +0000,2012-02-20 18:18:37 +0000
2012-02-18 12:00:00 +0000,swimming,1500.0,30.0,Drills,,2012-02-20 18:20:10 +0000,2012-02-20 18:20:10 +0000
2012-02-19 12:00:00 +0000,running,20599.6032,5760.0,2 laps VW,,2012-02-20 18:21:27 +0000,2012-02-20 18:21:27 +0000
2012-02-20 12:00:00 +0000,cycling,3218.688,720.0,BMA->Waterloo,,2012-02-20 18:22:53 +0000,2012-02-20 18:22:53 +0000
2012-02-19 12:00:00 +0000,swimming,1700.0,35.0,Mixed set with backstroke,,2012-02-20 18:20:56 +0000,2012-02-20 18:20:56 +0000
2012-02-21 08:00:00 +0000,cycling,37819.584,5100.0,Commute in,,2012-02-21 11:41:19 +0000,2012-02-21 11:41:19 +0000
2013-11-09 09:00:00 +0000,cycling,46000.0,5280.0,Shirlock Row loop,,2013-11-09 11:12:14 +0000,2013-11-09 11:12:14 +0000
2013-11-07 12:00:00 +0000,cycling,8000.0,1200.0,local,,2013-11-09 11:12:33 +0000,2013-11-09 11:12:33 +0000
